Dataframe of string 3 is:
     k  Observed  Possible
0    1         3         3
1    2         3         9
2    3         3        16
3    4         3        15
4    5         3        14
5    6         3        13
6    7         3        12
7    8         3        11
8    9         3        10
9   10         3         9
10  11         3         8
11  12         3         7
12  13         3         6
13  14         3         5
14  15         3         4
15  16         3         3
16  17         2         2
17  18         1         1

